id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
1351,Langerlo Thermal Belgium,Hard Coal,CCGT,PP,BE,512.596947849125,,0.0,0.0,0.0,0.0,1998,1998.0,2043,50.9405,5.4906,"{nan, nan, nan, nan}","{'GEO': {'GEO-41965'}, 'GPD': {'WRI1002253'}}",5109
1719,Beverce Robertville Beverce Robertville Belgium Beverce Robertville Belgium,Hydro,Reservoir,Store,BE,9.08280254777069,,0.0,0.0,0.0,0.0,1928,1928.0,2028,50.4387,6.0386,{nan},"{'JRC': {'JRC-H1788'}, 'GEO': {'GEO-42009'}}",4787
2433,Zwijndrecht Lanxess Gt,OCGT,OCGT,PP,BE,43.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,51.2382,4.3408,{nan},"{'OPSD': {'OEU-55'}, 'GPD': {'WRI1002291', 'WRI1002290'}}",5097
2434,Zelzate Tj,Oil,OCGT,PP,BE,18.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,51.15879,3.80815,{'22WZELZAT0002618'},"{'OPSD': {'OEU-54'}, 'GPD': {'WRI1002289'}}",5081
2435,Zeebrugge Tj,Oil,OCGT,PP,BE,18.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,51.329,3.1819,{nan},"{'OPSD': {'OEU-52'}, 'GPD': {'WRI1002286'}}",5068
2436,Zeebrugge Fluxys,CCGT,CCGT,PP,BE,40.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,51.329,3.1819,{nan},"{'OPSD': {'OEU-51'}, 'GPD': {'WRI1002285'}}",5068
2437,Zedelgem Tj,Oil,OCGT,PP,BE,18.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,51.1424,3.1368,{nan},"{'OPSD': {'OEU-50'}, 'GPD': {'WRI1002284'}}",5070
2438,Wilrijk Isvag,Waste,,PP,BE,12.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,51.1673,4.3951,{nan},"{'OPSD': {'OEU-48'}, 'GPD': {'WRI1002280'}}",5100
2439,Schaerbeek Siomab St,Waste,OCGT,PP,BE,45.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,50.8504,4.3488,{nan},"{'OPSD': {'OEU-37', 'OEU-35', 'OEU-36'}, 'GPD': {'WRI1002268'}}",5103
2440,Noordschote Tj,Oil,OCGT,PP,BE,18.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,50.9548,2.8103,{nan},"{'OPSD': {'OEU-30'}, 'GPD': {'WRI1002259'}}",5074
2441,Langerbrugge Stora St,Waste,OCGT,PP,BE,55.7,,0.0,0.0,0.0,0.0,1997,1997.0,2022,51.05,3.7167,{nan},"{'OPSD': {'OEU-25', 'OEU-26'}, 'GPD': {'WRI1002252'}}",5082
2442,Ivbo,Waste,,PP,BE,16.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,51.2089,3.2242,{nan},"{'OPSD': {'OEU-62'}, 'GPD': {'WRI1002246'}}",5071
2443,Intradel Herstal,Waste,,PP,BE,34.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,50.6642,5.6235,{nan},"{'OPSD': {'OEU-61'}, 'GPD': {'WRI1002245'}}",4780
2444,Incinerateur Thumaide Ipalle,Waste,,PP,BE,34.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,50.5415,3.6301,{nan},"{'OPSD': {'OEU-60'}, 'GPD': {'WRI1002243'}}",5075
2445,Electrawinds Biomassa Oostende,Waste,,PP,BE,18.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,51.2234,2.9119,{nan},"{'OPSD': {'OEU-57'}, 'GPD': {'WRI1002227'}}",5070
2446,Drogenbos Dm,Oil,CCGT,PP,BE,5.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,50.80244,4.30072,{nan},"{'OPSD': {'OEU-16', 'OEU-17'}, 'GPD': {'WRI1002224'}}",5103
2447,Turon Tj,Oil,OCGT,PP,BE,18.6,,0.0,0.0,0.0,0.0,1986,1986.0,2026,50.7303,3.8531,{nan},"{'OPSD': {'OEU-43'}, 'GPD': {'WRI1002222'}}",5082
2448,Cierreux Tj,Oil,OCGT,PP,BE,18.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,50.2444,5.9302,{nan},"{'OPSD': {'OEU-9'}, 'GPD': {'WRI1002219'}}",4787
2449,Beveren Ineos Phenolchemie,CCGT,CCGT,PP,BE,23.8,,0.0,0.0,0.0,0.0,2002,2002.0,2042,51.2119,4.2563,{nan},"{'OPSD': {'OEU-7'}, 'GPD': {'WRI1002214'}}",5085
2486,Zandvliet,CCGT,CCGT,PP,BE,386.2,,0.0,0.0,0.0,0.0,2002,2002.0,2042,51.35964999999999,4.30716,{'22WZANDVL000255D'},"{'ENTSOE': {'22WZANDVL000255D'}, 'OPSD': {'OEU-49'}}",5097
2487,Vilvoorde Gt,CCGT,CCGT,PP,BE,255.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,50.926454,4.4258375,{'22W20181005PU--J'},"{'ENTSOE': {'22W20181005PU--J'}, 'OPSD': {'OEU-44'}}",5104
2488,Scheldelaan Exxonmobil,CCGT,CCGT,PP,BE,140.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,51.2999074,4.3074433,{'22WSCHELD0002261'},"{'ENTSOE': {'22WSCHELD0002261'}, 'OPSD': {'OEU-38'}}",5097
2604,Beveren Indaver,Waste,,PP,BE,45.0,,0.0,0.0,0.0,0.0,1997,1997.0,2022,51.2119,4.2563,{nan},"{'OPSD': {'OEU-69', 'OEU-68'}, 'GPD': {'WRI1002213'}}",5085
2605,Beerse Tj,Oil,OCGT,PP,BE,32.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,51.3193,4.853,{nan},"{'OPSD': {'OEU-6'}, 'GPD': {'WRI1002211'}}",5107
2606,Awirs,Bioenergy,OCGT,PP,BE,95.0,,0.0,0.0,0.0,0.0,2005,2005.0,2025,50.58508,5.41886,{nan},"{'OPSD': {'OEU-5'}, 'GPD': {'WRI1002210'}}",5165
2730,Aalter Tj,Oil,OCGT,PP,BE,18.0,,0.0,0.0,0.0,0.0,1986,1986.0,2026,51.0902,3.4469,{nan},"{'OPSD': {'OEU-3'}, 'GPD': {'WRI1002206'}}",5082
2763,Aalst Syral Gt,OCGT,OCGT,PP,BE,43.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,50.936,4.0355,{nan},"{'OPSD': {'OEU-1'}, 'GPD': {'WRI1002205', 'WRI1002204'}}",5085
3116,Jemeppe Sur Sambre Gt,OCGT,OCGT,PP,BE,106.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,50.44746,4.66339,{nan},"{'OPSD': {'OEU-83', 'OEU-85', 'OEU-84'}}",5156
4447,Coo,Hydro,Pumped Storage,Store,BE,474.0,,0.0,0.0,0.0,0.0,1962,1962.0,2062,50.503887,4.469936,{'22WCOOXIX000067T'},{'ENTSOE': {'22WCOOXIX000067T'}},5153
4478,Edf Luminus Seraing Tgv,CCGT,CCGT,PP,BE,470.0,,0.0,0.0,0.0,0.0,2002,2002.0,2042,50.6099816,5.5141067,{'22W201806271---D'},{'ENTSOE': {'22W201806271---D'}},5166
