Line,name
9960,35
538,37
11554,11
11797,19
11798,39
5381,21
8752,34
8576,34
6350,43
4639,25
4636,9
3690,22
12719,30
4611,10
9958,38
537,18
5382,5
13753,23
13752,2
14277,24
12993,6
14133,33
14132,40
4628,4
9961,36
11553,20
8225,29
6339,14
5388,1
5387,12
6343,13
11201,3
9957,32
3084,31
13923,26
14010,28
14011,27
14278,41
5385,44
12991,16
12992,17
9959,42
11203,8
4634,7
13922,15
