utc_timestamp,BE
2013-03-07 10:00:00,11726.0
2013-03-07 11:00:00,11415.0
2013-03-07 12:00:00,11360.0
2013-03-07 13:00:00,11274.0
2013-03-07 14:00:00,11141.0
2013-03-07 15:00:00,11163.0
2013-03-07 16:00:00,11430.0
2013-03-07 17:00:00,11787.0
2013-03-07 18:00:00,11736.0
2013-03-07 19:00:00,11148.0
2013-03-07 20:00:00,10508.0
2013-03-07 21:00:00,10636.0
2013-03-07 22:00:00,10521.0
2013-03-07 23:00:00,9734.0
2013-03-08 00:00:00,9128.0
2013-03-08 01:00:00,8684.0
2013-03-08 02:00:00,8584.0
2013-03-08 03:00:00,8663.0
2013-03-08 04:00:00,9183.0
2013-03-08 05:00:00,10342.0
2013-03-08 06:00:00,10804.0
2013-03-08 07:00:00,10943.0
2013-03-08 08:00:00,11085.0
2013-03-08 09:00:00,11280.0
2013-03-08 10:00:00,11263.0
2013-03-08 11:00:00,11192.0
2013-03-08 12:00:00,11297.0
2013-03-08 13:00:00,11091.0
2013-03-08 14:00:00,10907.0
2013-03-08 15:00:00,10787.0
2013-03-08 16:00:00,10962.0
2013-03-08 17:00:00,11345.0
2013-03-08 18:00:00,11287.0
2013-03-08 19:00:00,10731.0
2013-03-08 20:00:00,10116.0
2013-03-08 21:00:00,10409.0
2013-03-08 22:00:00,10351.0
2013-03-08 23:00:00,9658.0
2013-03-09 00:00:00,8893.0
2013-03-09 01:00:00,8280.0
2013-03-09 02:00:00,8147.0
2013-03-09 03:00:00,8128.0
2013-03-09 04:00:00,8277.0
2013-03-09 05:00:00,8544.0
2013-03-09 06:00:00,8627.0
2013-03-09 07:00:00,9235.0
2013-03-09 08:00:00,9957.0
2013-03-09 09:00:00,10210.0
2013-03-09 10:00:00,10447.0
2013-03-09 11:00:00,10393.0
2013-03-09 12:00:00,10197.0
2013-03-09 13:00:00,9980.0
2013-03-09 14:00:00,9893.0
2013-03-09 15:00:00,9831.0
2013-03-09 16:00:00,10001.0
2013-03-09 17:00:00,10435.0
2013-03-09 18:00:00,10599.0
2013-03-09 19:00:00,10105.0
2013-03-09 20:00:00,9592.0
2013-03-09 21:00:00,9781.0
2013-03-09 22:00:00,9894.0
2013-03-09 23:00:00,9374.0
2013-03-10 00:00:00,8867.0
2013-03-10 01:00:00,8441.0
2013-03-10 02:00:00,8251.0
2013-03-10 03:00:00,8149.0
2013-03-10 04:00:00,8231.0
2013-03-10 05:00:00,8456.0
2013-03-10 06:00:00,8379.0
2013-03-10 07:00:00,8940.0
2013-03-10 08:00:00,9556.0
2013-03-10 09:00:00,9964.0
2013-03-10 10:00:00,10344.0
2013-03-10 11:00:00,10400.0
2013-03-10 12:00:00,10123.0
2013-03-10 13:00:00,9985.0
2013-03-10 14:00:00,9787.0
2013-03-10 15:00:00,9679.0
2013-03-10 16:00:00,9941.0
2013-03-10 17:00:00,10550.0
2013-03-10 18:00:00,10881.0
2013-03-10 19:00:00,10635.0
2013-03-10 20:00:00,10206.0
2013-03-10 21:00:00,10305.0
2013-03-10 22:00:00,10251.0
2013-03-10 23:00:00,9736.0
2013-03-11 00:00:00,9336.0
2013-03-11 01:00:00,9035.0
2013-03-11 02:00:00,8884.0
2013-03-11 03:00:00,8893.0
2013-03-11 04:00:00,9352.0
2013-03-11 05:00:00,10690.0
2013-03-11 06:00:00,11369.0
2013-03-11 07:00:00,11754.0
2013-03-11 08:00:00,12121.0
2013-03-11 09:00:00,12304.0
2013-03-11 10:00:00,12464.0
2013-03-11 11:00:00,12303.0
2013-03-11 12:00:00,12303.0
2013-03-11 13:00:00,12205.0
2013-03-11 14:00:00,12164.0
2013-03-11 15:00:00,12096.0
2013-03-11 16:00:00,12131.0
2013-03-11 17:00:00,12424.0
2013-03-11 18:00:00,12652.0
2013-03-11 19:00:00,12109.0
2013-03-11 20:00:00,11409.0
2013-03-11 21:00:00,11660.0
2013-03-11 22:00:00,11694.0
2013-03-11 23:00:00,11075.0
2013-03-12 00:00:00,10551.0
2013-03-12 01:00:00,10206.0
2013-03-12 02:00:00,9915.0
2013-03-12 03:00:00,9781.0
2013-03-12 04:00:00,10034.0
2013-03-12 05:00:00,11077.0
2013-03-12 06:00:00,11398.0
2013-03-12 07:00:00,11598.0
2013-03-12 08:00:00,12112.0
2013-03-12 09:00:00,12358.0
2013-03-12 10:00:00,12650.0
2013-03-12 11:00:00,12641.0
2013-03-12 12:00:00,12405.0
2013-03-12 13:00:00,12157.0
2013-03-12 14:00:00,12039.0
2013-03-12 15:00:00,11732.0
2013-03-12 16:00:00,11777.0
2013-03-12 17:00:00,11993.0
2013-03-12 18:00:00,12551.0
2013-03-12 19:00:00,11985.0
2013-03-12 20:00:00,11409.0
2013-03-12 21:00:00,11691.0
2013-03-12 22:00:00,11798.0
2013-03-12 23:00:00,11218.0
2013-03-13 00:00:00,10809.0
2013-03-13 01:00:00,10420.0
2013-03-13 02:00:00,10149.0
2013-03-13 03:00:00,9972.0
2013-03-13 04:00:00,10256.0
2013-03-13 05:00:00,11324.0
2013-03-13 06:00:00,11720.0
2013-03-13 07:00:00,12072.0
2013-03-13 08:00:00,12455.0
2013-03-13 09:00:00,12401.0
